CHARGE,CHARGE_TYPE_CLASSIFICATION
USING CELL PHONE OR ELECTRONIC COMMUNICATIONS DEVICE WITHOUT HANDS FREE EQUIPMENT WHILE DRIVING,misdemeanor
SHOPLIFTING - 2ND OFFENSE,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
DISPLAY OF REGISTRATION PLATES,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
DRIVING WITH SUSPENDED /REVOKED LICENSE NON DUI,petty_offense
OPERATION WITHOUT CERTIFICATE OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND",petty_offense
SHOPLIFTING - CONCEALS MERCHANDISE,misdemeanor
SHOPLIFTING - 3RD OFFENSE,felony
WAIVER OF EXTRADITION,petty_offense
ROBBERY/NON-AGGRAVATED,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
NO INSURANCE,misdemeanor
ROBBERY/NON-AGGRAVATED,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DRIVING SUSPENDED/REVOKED,misdemeanor
FAILURE TO PROVIDE NOTICE OF SEXUAL OFFENDER REGISTRATION CHANGES BY OFFENDER REQUIRED TO REGISTER FOR LIFE,felony
EMBEZZLEMENT,misdemeanor
CONSPIRACY TO COMMIT A FELONY - TO WIT: POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE - HEROIN,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE: TO WIT HEROIN,felony
CONSPIRACY TO MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER TO WIT: OXYMORPHONE,felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER CONTROLLED SUBSTANCE TO WIT: OXYMORPHONE,felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER CONTROLLED SUBSTANCE TO WIT: OXYMORPHONE,felony
CONSPIRACY TO MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER TO WIT: OXYMORPHONE,felony
BURGLARY,felony
GRAND LARCENY,felony
CONSPIRACY TO INFLICT INJURY TO PERSONS OR PROPERTY,felony
CONSPIRACY TO INFLICT INJURY TO PERSONS OR PROPERTY,misdemeanor
TEXTING WHILE DRIVING,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
TRUANCY,misdemeanor
BATTERY,misdemeanor
EMBEZZLEMENT,felony
FRAUDULENT SCHEMES,felony
NO PROOF INSURANCE,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING SUSPENDED/REVOKED,misdemeanor
OBEDIENCE TO TRAFFIC-CONTROL DEVICES,misdemeanor
SHOPLIFTING,misdemeanor
DOMESTIC ASSAULT,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
DOMESTIC BATTERY,misdemeanor
EXPIRED MVI,misdemeanor
DRIVING ON ROADWAY LANDED FOR TRAFFIC(CENTER LANE),misdemeanor
SPEEDING,misdemeanor
PUBLIC INTOXICATION,misdemeanor
ENTERING WITHOUT BREAKING,felony
DRIVING UNDER THE INFLUENCE,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
DOMESTIC BATTERY,misdemeanor
FOREST FIRE SEASONS;PERMITS FOR FIRES;PROHIBITED FIRES;CLOSURE OF FORESTS,misdemeanor
DOMESTIC BATTERY,misdemeanor
BURN REFUSE,misdemeanor
NO PROOF OF INSURANCE,petty_offense
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
SPEEDING,misdemeanor
TRESPASSING,misdemeanor
SIMPLE POSSESSION,misdemeanor
UNLAWFUL/MALICIOUS WOUNDING,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
CONSPIRACY,felony
DOMESTIC BATTERY,misdemeanor
IMPROPER USE EVIDENCES OF REGISTRATION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
BREAKING AND ENTERING,felony
CONSPIRACY,felony
BREAKING AND ENTERING,felony
DISORDERLY CONDUCT,misdemeanor
LEASH LAW,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
"FRAUDULENT USE, FORGERY AND TRAFFIC OF AN ACCESS DEVICE",felony
CONSPIRACY,felony
GRAND LARCENY,felony
"FRAUDULENT USE, FORGER AND TRAFFIC OF AN ACCESS CONTROL DEVICE",felony
ATTEMPT TO COMMIT A FELONY,felony
ATTEMPT TO COMMIT A FELONY GRAND LARCENY,felony
BURGLARY,felony
ATTEMPT TO COMMIT A FELONY GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
ENTERING WITHOUT BREAKING AN AUTOMOBILE,felony
GRAND LARCENY,felony
TRANSFERRING/RECEIVING STOLEN PROPERTY,felony
ATTEMPT TO COMMIT A FELONY GRAND LARCENY,felony
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
RECEIVING STOLEN PROPERTY,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
NO INSURANCE,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE FOR DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICNESE-NON DUI 3RD OFFENSE,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICNESE-FOR DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE NON DUI 3RD OFFENSE,misdemeanor
DOMESTIC BATTERY-UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
NO PROOF OF INURANCE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
SPEEDING CONTRUCTION ZONE,misdemeanor
SIMPLE POSSESSION MARIJUANA,misdemeanor
POSSESSION WITH INTENT TO DELIVER OF CONTROLLED SUBSTANCE,felony
DELIVERY OF AN IMITATION CONTROLLED SUBSTANCE,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
ATTEMPT TO COMMIT DELIVERY OF CONTROLLED SUBSTANCE,felony
ROBBERY/NON-AGGRAVATED,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
ATTEMPT TO COMMIT THE FELONY OF DELIVERY OF A CONTROLLED SUBSTANCE,felony
BATTERY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
PUBLIC INTOXICATION,misdemeanor
SHOPLIFTING 3RD OFFENSE,felony
SHOPLIFTING 3RD OFFENSE,felony
FRAUDULENT SCHEMES,felony
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP);FALSE INFORMATION,misdemeanor
"OBTAINING MONEY,PROPERTY AND SERVICES BY FALSE PRETENSES (THEFT OF SERVICES)",felony
PETIT LARCENY,felony
POSSESSION OF CHILD PORNOGRAPHY,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
POSSESSION OF MATERIAL DEPICTING A MINOR ENGAGED IN SEXUALLY EXPLICIT CONDUCT,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
COMPULSORY EDUCATION OFFENSE;PENALTIES; COST OF PROSECUTION.TRUANCY,misdemeanor
SHOPLIFTING,misdemeanor
PETIT LARCENY,misdemeanor
WORTHLESS CHECK,misdemeanor
WORTHLESS CHECK,misdemeanor
DOMESTIC BATTERY,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
ATTEMPT TO COMMIT A FELONY,felony
GRAND LARCENY,felony
TRANSFERRING STOLEN PROPERTY,felony
BREAKING AND ENTERING,felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO  MANUFACTURE/DELIVER (SCHED 1 OR 2 NARCOTIC),felony
SPEEDING,misdemeanor
DRIVING SUSPENDED OPERATORS,misdemeanor
NO OPERATORS,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
DRIVING SUSPENDED OPERATORS,misdemeanor
NO OPERATORS,misdemeanor
SPEEDING,misdemeanor
MALICIOUS WOUNDING,felony
MALICIOUS WOUNDING,felony
DOMESTIC BATTERY,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
FAIL TO YIELD,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY(10 MPH OR LESS ABOVE),misdemeanor
SPEED LIMITATIONS GENERALLY:PENALTY (10 MPH OR LESS ABOVE),misdemeanor
NO SEATBELT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOG ORDINANCE,misdemeanor
UNDERAGE CONSUMPTION OF LIQUOR,misdemeanor
NO SEAT BELT,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED,misdemeanor
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP) FALSE INFORMATION,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
UNLAWFUL RESTRAINT,misdemeanor
DOMESTIC BATTERY,misdemeanor
PETIT LARCENY,misdemeanor
SPEED LIMITATIONS GENERALLY (SCHOOL ZONE),misdemeanor
VIOLATION OF PROTECTIVE ORDER,felony
DOMESTIC BATTERY,misdemeanor
MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER;REPEAT OFFENSES;PENALTIES,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
DOMESTIC ASSAULT,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
UNLAWFUL INJURY/DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY/DESTRUCTION OF PROPERTY,misdemeanor
"VIOLATION OF PROTECITVE ORDER, REPEAT OFFENDER",misdemeanor
DOMESTIC BATTERY,misdemeanor
DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DOMESTIC BATTERY,misdemeanor
GRAND LARCENY,felony
CONSPIRACY,felony
SPEEDING,misdemeanor
DOMESTIC BATTERY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
NO INSURANCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
COMPULSORY EDUCATION OFFENSE;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
"ENTRY OF BUILDING OTHER THAN DWELLING;ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",felony
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
FAILURE TO MAINTAIN CONTROL,misdemeanor
SEAT BELT VIOLATION,misdemeanor
JOYRIDING,misdemeanor
LEAVING THE SCENE WITH INJURY,misdemeanor
1. BURGLARY,felony
3. GRAND LARCENY,felony
5. BREAKING AND ENTERING,felony
DOMESTIC BATTERY,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
6. GRAND LARCENY,felony
2. GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
4. JOYRIDING,felony
THREATENING CRIMINAL ACTS BY COMPUTER,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO INSURANCE,misdemeanor
OPERATION WITHOUT INSPECTION,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE,misdemeanor
USING CELL PHONE OR ELECTRONIC COMMUNICATION DEVICE WITHOUT HANDS FREE EQUIPMENT WHILE DRIVING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
CHILD PASSENGER SAFETY DEVICES REQUIRED,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
DRIVING UNDER THE INFLUENCE OF ALCOHOL WITH A MINOR UNDER 16,misdemeanor
IMPROPER REGISTRATION,misdemeanor
POSSESSION OF ALCOHOL UNDER 21,misdemeanor
NO MOTOR VEHICLE INSURANCE,misdemeanor
DRIVING UNDER THE INFLUENCE WITH A BLOOD ALCOHOL > 0.02 <0.08 (UNDER 21),misdemeanor
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
SHOPLIFTING - REMOVAL OF MERCHANDISE,misdemeanor
VEHICLES MUST STOP AT THROUGH HIGHWAYS;ERECTION OF SIGNS,misdemeanor
SHOPLIFTING - CONCEALS MERCHANDISE,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
SEATBELT VIOLATION,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,petty_offense
"DELIVERY OF A CONTROLLED SUBSTANCE, MARIJUANA",felony
COMPULSORY EDUCATION OFFENSES; TRUANCY,misdemeanor
ROBBERY 1ST DEGREE,felony
UNLAWFUL USE OF LICENSE OR NONOPERATORS IDENTIFICATE(GENERAL),misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
PUNISHMENT OF ACCESSORIES-ACCESSORY BEFORE THE FACT,misdemeanor
BURGLARY BY ENTERING WITHOUT BREAKING (DAYTIME)(1-10 YEARS),felony
TRESPASS IN STRUCTURE OR CONVEYANCE,misdemeanor
ROBBERY 1ST DEGREE,felony
DOMESTIC BATTERY,misdemeanor
RECKLESS DRIVING,misdemeanor
LOUD EXHAUST,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
IMPROPER EQUIPMENT,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
OPERATION WITHOUT CERT. INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED: GENERAL,misdemeanor
DOMESTIC BATTERY,misdemeanor
SPEEDING,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERT. INSPECTION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
OPERATION WITHOUT REGISTRATION,misdemeanor
SHOPLIFTING,misdemeanor
PETIT LARCENY,misdemeanor
EXPIRED PROOF OF INSURANCE,misdemeanor
PUBIC INTOXICATION,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
CONSPIRACY,felony
UNLAWFUL DELIVERY OF CERTAIN MATERIALS TO AN INMATE,felony
ACCESSORY TO POSSESSION OF TELECOMMUNICATIONS DEVICE BY INMATE,felony
FAILURE TO MAINTAIN CONTROL,misdemeanor
GRAND LARCENY,felony
POSSESSION OF TOBACCO,misdemeanor
OPERATING AN OPEN DUMP,misdemeanor
CELLPHONE VIOLATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
GRAND LARCENY,felony
KNOWINGLY OR INTENTIONALLY POSSESSING CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING SUSPENDED,misdemeanor
UNLAWFUL TAKING OF VEHICLE,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
"MALICIOUS OR UNLAWFUL ASSAULT;ASSAULT;BATTERY(FAMILY, SPOUSE, PARTNER, CO-PARENT,OTHER)",felony
DESTRUCTION OF PROPERTY,misdemeanor
SHOPLIFTING,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY-2ND,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
"LARCENY OF BANK NOTES, CHECKS, WRITINGS OF VALUE AND BOOK ACCOUNTS; PENALTY",misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
VIOLATION OF A PROTECTIVE ORDER,misdemeanor
PETIT LARCENY,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
VIOLATION OF DOMESTIC VIOLENCE PROTECTIVE ORDER,misdemeanor
FORGERY,felony
POSSESSION OF MARIJUANA,misdemeanor
SPEEDING,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECKS",misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DISORDERLY CONDUCT,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICES,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FRAUDULENT USE OF AN ACCESS DEVICE,felony
FALSE REPRESENTATIONS,misdemeanor
DOMESTIC BATTERY-  UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
CONSPIRACY,felony
OBTAINING PROPERTY BY FALSE PRETENSES,felony
MAINTAINING A DWELLING FOR KEEPING OF A CONTROLLED SUBSTANCE,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
DOMESTIC ASSAULT,misdemeanor
SEAT BELT VIOLATION,misdemeanor
SEAT BELT VIOLATION,misdemeanor
SEAT BELT VIOLATION,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENSES;PENALTIES",misdemeanor
NO PROOF OF INSURANCE,misdemeanor
SEAT BELT VIOLATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
DUI <.15,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
FORGERY,felony
FORGERY,felony
FORGERY,felony
UTTERING,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
PETIT LARCENY,misdemeanor
FORGERY,felony
UTTERING,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
CONSPIRACY,felony
BATTERY,misdemeanor
FORGERY,felony
UTTERING,felony
EMBEZZLEMENT,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
UTTERING,felony
SOLID WASTE DISPOSAL,misdemeanor
MANDATORY DISPOSAL-PROVIDE PROPER PROOF OF PROPER DISPOSAL,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DOMESTIC ASSAULT,misdemeanor
CARRYING A DANGEROUS WEAPON,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
1ST OFFENSE DRIVE ON REVOKED DUI,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
SHOOTING ACROSS ROAD OR NEAR BUILDING OR CROWD,misdemeanor
DUI LESS THAN .15,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
SPEEDING IN CONSTRUCTION ZONE,misdemeanor
USE OR POSSESSION OF TOBACCO BY PERSONS UNDER EIGHTEEN YEARS,misdemeanor
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
SEXUAL ASSAULT 2ND DEGREE,felony
INCEST,felony
INCEST,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
INCEST,felony
SEXUAL ASSAULT 2ND DEGREE,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
SEXUAL ASSAULT 1ST DEGREE,felony
SEXUAL ASSAULT 2ND DEGREE,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
INCEST,felony
INCEST,felony
SEXUAL ASSAULT 2ND DEGREE,felony
INCEST,felony
SEXUAL ASSAULT 2ND DEGREE,felony
INCEST,felony
SEXUAL ASSAULT 2ND DEGREE,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
INCEST,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
SEXUAL ASSAULT 1ST DEGREE,felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
"SEXUAL ABUSE BY PARENT, GUARDIAN, CUSTODIAN OR PERSON IN POSITION OF TRUST TO A CHILD",felony
SEXUAL ASSAULT 2ND DEGREE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
CONTRIBUTING TO OPEN DUMP (22-15-10(A) ),misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
RECEIVING STOLEN PROPERTY,felony
CONSPIRACY,felony
TRANSPORT CONTROLLED SUBSTANCE INTO STATE,felony
POSSESSION WITH INTENT TO DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
"MAKING,ISSUING, WORTHLESS CHECKS",unknown
POSSESSION W/INTENT TO DELIVER CONTROLLED SUBSTANCE,misdemeanor
POSSESSION W/INTENT TO DELIVER CONTROLLED SUBSTANCE,misdemeanor
"MAKING,ISSUING, WORTHLESS CHECKS",unknown
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
DELIVER SCHEDULE I CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
CONSPIRACY,felony
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
