NOTES,SENTENCE
"ORIGINAL OFFENSE: DR1, PUBLIC INTOXICATION (STATUTE: 37 O.S. 8, 537(A)(8))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: FAILURE TO CARRY SECURITY VERIFICATION FORM (STATUTE: O.S. 7-602)
ORIGINAL PLEA: DISMISSED BY COURT",
,"sentence suspended: 1 YEAR
community service: 10 HOURS, FILING PROOF HEREIN WITH 6 MONTHS
other: OBTAIN A DRUG AND ALCOHOL EVALUATION FOLLOWING ALL RECOMMENDATIONS TO INCLUDE AND SUBMISSION OF RANDOM URINALYSIS TESTS FOR SIX MONTHS AT THE REQUEST OF THE SUPERVISING AGENCY"
,"sentence suspended: 1 YEAR
community service: 20 HOURS, FILING PROOF WITHIN 9 MONTHS
other: 03/12/2015 DEFERRED; DEFERRED UNTIL MARCH 10, 2017, SUPERVISION OF OKLAHOMA COURT SERVICES, ORDERED TO OBTAIN A DRUG AND ALCOHOL EVALUATION, 20 HOURS COMMUNITY SERVICE, FILING PROOF HEREIN WITHIN 9 MONTHS, FOLLOWING ALL RECOMMENDATIONS TO INCLUDE VICTIM'S IMPACT PANEL. 08/13/2015 STIPULATED TO A CONVICTION; COUNTS TO RUN CONCURRENT WITH EACH OTHER AND CASE TO RUN CONCURRENT WITH CASE CM-2015-128, ALL PRIOR OBLIGATIONS REMAIN"
"ORIGINAL OFFENSE: DR3, UNLAWFUL POSSESSION OF PARAPHERNALIA (STATUTE: 63 O.S. 2-405-0B)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BC, OBTAINING CASH BY BOGUS CHECK (STATUTE: 21 O.S. 1541-1)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: BC, BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SB4, SEAT BELT - PASSENGER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,other: BOND AMOUNT: (20)
"ORIGINAL OFFENSE: OLAR, GRAND LARCENY (STATUTE: 21 O.S. 1702-1737)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OPJ, CONSPIRACY TO COMMIT A FELONY (STATUTE: 21 O.S. 380-592)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OWN, FALSE DECLARATION OF OWNERSHIP IN PAWN SHOP (STATUTE: 59 O.S. 1512(C)(2))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OWN, FALSE DECLARATION OF OWNERSHIP IN PAWN SHOP (STATUTE: 59 O.S. 1512(C)(2))
ORIGINAL PLEA: GUILTY PLEA",
,"sentence suspended: 5 YRS PRISON
other: RUN C/C 05-24-2021 	BWIFAP	
BENCH WARRANT ISSUED"
"ORIGINAL OFFENSE: OWN, FALSE DECLARATION OF OWNERSHIP IN PAWN SHOP (STATUTE: 59 O.S. 1512(C)(2))
ORIGINAL PLEA: GUILTY PLEA",
,"sentence suspended: 5 YRS PRISON
other: RUN C/C 05-24-2021 	BWIFAP	
BENCH WARRANT ISSUED"
,"sentence suspended: 5 YRS PRISON
other: RUN C/C 05-24-2021 	BWIFAP	
BENCH WARRANT ISSUED"
,"sentence suspended: 5 YRS PRISON
other: RUN C/C 05-24-2021 	BWIFAP	
BENCH WARRANT ISSUED"
,"sentence suspended: 5 YRS PRISON
other: RUN C/C 05-24-2021 	BWIFAP	
BENCH WARRANT ISSUED"
"ORIGINAL OFFENSE: DU8II, POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE (STATUTE: 63 O.S. 2-402)
ORIGINAL PLEA: GUILTY PLEA",
"07/05/2017 7 YEARS DEFERRED SENTENCE UNTIL 7/5/2024; 7 YEARS PROBATION; 2 YEARS SUPERVISION;

07-31-2018	
APPLICATION TO ACCELERATE DEFERRED JUDGMENT;

7/5/2024 EXPECTED COMPLETION OF DEFERRED SENTENCE;; Statute: 63 O.S. 2-402; Probation Conditions: 07/05/2017 ENROLL INPATIENT CENTER;","7 YEARS PROBATION; $1,000.00 FINE; FEES AMOUNT UNSPECIFIED; $103.00 COSTS;"
,
Statute: 47 OS 11-801a,$5.00 FINE; FEES AMOUNT UNSPECIFIED;
,
,
,
,
,
Statute: 22 OS 60.6,
Statute: 22 OS 60.6,
,
,
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
,"other: BOND AMOUNT: (269)| 
ADDITIONAL DISPOSITION INFO: DISMISSED- REQUEST OF THE STATE"
"ORIGINAL OFFENSE: SPEEDING 72/55 (STATUTE: O.S. 11 801 C)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
,
,
Statute: 63 OS 2-401-2-420,$250.00 FINE; FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: S31, SPEEDING 31-35 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801A)
ORIGINAL PLEA: GUILTY PLEA",
,
,
,
,
,
,
,
,
,sentence suspended: 1 YEAR
,
,
,"other: 1 YEAR DEFERRED, VIP"
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (MF: 01 - 10 OVER POSTED MAXIMUM) (STATUTE: 47 O.S. 11-801(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: PROS, OFFERING TO ENGAGE (STATUTE: 21 O.S. 1025-1031,1081-1086)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
Collections Date: 02/08/2021,FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
,
"02/12/2018: BENCH WARRANT: FAILURE TO PAY(STATUS UNKNOWN)
 NO NEXT COURT DATE IS LISTED ON PUBLIC ACCESS;; Warrant Date: 02/12/2018",VERIFIED SENTENCE INFORMATION NOT AVAILABLE;
,
,
,
"12/17/2015: 1 YEAR DEFERRED SENTENCE; 

12/17/2016: COMPLETION OF DEFERRED DATE;; Deferral Outcome: 12/17/2016: COMPLETION OF DEFERRED DATE; ; Collections Active: Yes; Collections Date: 09/25/2020",1 YEAR PROBATION; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
,
,
"ORIGINAL OFFENSE: SB3, FAIL TO PROPERLY WEAR SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: DL1, OPERATE VEHICLE WHILE DL UNDER REVOCATION (1ST OFFENSE) (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"12/17/2015: 1 YEAR DEFERRED SENTENCE; UNSPECIFIED RESTITUTION (IF ANY); 

12/17/2016: COMPLETION OF DEFERRED DATE;; Deferral Outcome: 12/17/2016: COMPLETION OF DEFERRED DATE; ; Collections Active: Yes; Collections Date: 09/25/2020",1 YEAR PROBATION; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"12/17/2015: 1 YEAR DEFERRED SENTENCE; 6 MONTHS OKLAHOMA COURT SERVICES SUPERVISION; 

12/17/2016: COMPLETION OF DEFERRED DATE;; Deferral Outcome: 12/17/2016: COMPLETION OF DEFERRED DATE; ; Collections Active: Yes; Collections Date: 09/25/2020",1 YEAR PROBATION; FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
,
,
"ORIGINAL OFFENSE: S11, SPEED IN EXCESS OF POSTED MAX. (11-15 OVER LIMIT) (STATUTE: 47O O.S. 11801)
ORIGINAL PLEA: BOND FORFEITED",
,
"ORIGINAL OFFENSE: UTTERING A FORGED INSTRUMENT (STATUTE: 21 O.S. 1592)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: UTTERING A FORGED INSTRUMENT (STATUTE: 21 O.S. 1592)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: SPEEDING 77/55 (STATUTE: O.S. 11 801)
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: UNLAWFULLY OPERATING A MV WITHOUT AN INSPECTION STICKER (STATUTE: O.S. 70-851)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: CT 1 DRIVING WHILE PRIVILEGE SUSPENDED (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SPEEDING 72/55 (STATUTE: O.S. 11-801)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: FOLLOWING TOO CLOSELY (STATUTE: 47 O.S. 11-310)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: 01 - 10 OVER POSTED MAXIMUM (STATUTE: 47 O.S. 11-801)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: OPERATING A M.V. W/O CURRENT LICENSE PLATE (STATUTE: 47 O.S. 1151A.5)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(A))
ORIGINAL PLEA: GUILTY PLEA",
,
,
"ORIGINAL OFFENSE: SC2, FAIL TO OBEY INSTRUCTIONS ON TRAFFIC CONTROL DEVICE (STATUTE: 47 O.S. 11-201)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: LI2, LITTERING FLAMING OR GLOWING SUBSTANCE FROM A MOTOR VEHICLE (STATUTE: 21 O.S. 1753.3(C), 21-1761.1(A))
ORIGINAL PLEA: DISMISSED WITH COSTS",
,
,
"2014-10-07: TRAFFIC COSTS (SPEEDING - 1 TO 10 OVER): $ 77.00

2014-10-07: FINES PAYABLE TO COUNTY: $ 10.00; Statute: 47 O.S. 11-801(B)(C)(F)","2014-09-15: TRAFFIC FILING - SPEEDING 1 - 10 MPH OVER
2014-10-07: NOLO
2014-10-07: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2014-10-07: DPS PATROL VEHICLE FUND FEE ASSESSMENT
2014-10-07: DA COUNCIL PROSECUTION ASSESSMENT FOR TRAFFIC
2014-10-07: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2014-10-07: CLEET PENALTY ASSESSMENT
2014-10-07: AFIS FEE
2014-10-07: SHERIFF'S SERVICE FEE ON ARRESTS
2014-10-07: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2014-10-07: ATTORNEY GENERAL VICTIM SERVICES UNIT
2014-10-07: C.H.A.B. STATUTORY FEE
2014-10-07: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2014-10-08: ABSTRACT SENT TO D.P.S."
,$20.00 FINE; FEES AMOUNT UNSPECIFIED; $88.00 COSTS;
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: BOND FORFEITED",
,
,
,
,
,
,"community service: COMMUNITY SENTENCE
other: 10 YEARS DEFERRED. 08/13/2014 30 DAYS SANCTIONS 12/02/2014 SERVED 20 OUT OF THE 30 FOR SANCTIONS, COURT WILL TAKE THE REMAINING 10 DAYS UNDER ADVISEMENT. 04/30/2015 SERVING 10 DAYS SANCTIONS, 6 MONTHS SUPERVISED AND WILL TRANSFER TO P&P. 12/09/2015 REMOVED FROM PROBATION"
,
,
,"other: MAY 29, 2019
    PENDING DEFERRED  NOVEMBER 27, 2019
    COMPLETION OF DEFERRED DATE"
,
"ORIGINAL OFFENSE: ABUSE BY CARETAKER (STATUTE: 21 O.S. 843.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: FR5, FINANCIAL RESPONSIBILITY/SECURITY VERIFICATION (STATUTE: 47 O.S. 7-606(A))
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: LP1, OPERATING MV W/O CURRENT LIC PLATE/TAXES DUE STATE/IMPROPER TAG (STATUTE: 47 O.S. 1151(A)(5))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: IL1, CHANGING LANES UNSAFELY (STATUTE: 47 O.S. 11-309(1))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: GUILTY PLEA",
,
,
"ORIGINAL OFFENSE: CDEL, CONTRIBUTING TO THE DELIQUENCY OF MINORS (STATUTE: 21 O.S. 856)
ORIGINAL PLEA: GUILTY PLEA",
"AMENDED STATUTE: 63 O.S. 2-401-2-420; 2020-06-09: PAUL K WOODWARD , JUDGE: CASE DISPOSED. DEFERRED 5 YEARS, 06-08-2025, 10 AM COURT COSTS, $30 VCA, $100 MENTAL HEALTH

2020-06-09: COURT COSTS ON MISDEMEANOR: $ 83.00 CHARGE TYPE: UNAVAILABLE;; Original Charge: POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE; Statute: 63 O.S. 2-402","2019-04-24: DEFENDANT CALEB MICHAEL IRA VANBUSKIRK WAS CHARGED WITH COUNT #2, POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE IN VIOLATION OF 63 O.S. 2-402
2020-06-09: TRAUMA CARE ASSISTANCE REVOLVING FUND
2020-06-09: DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR
2020-06-09: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2020-06-09: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2020-06-09: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2020-06-09: MEDICAL EXPENSE LIABILITY REVOLVING FUND
2020-06-09: TRAUMA CARE ASSISTANCE REVOLVING FUND
2020-06-09: CLEET PENALTY ASSESSMENT
2020-06-09: AFIS FEE
2020-06-09: LAW LIBRARY FEE
2020-06-09: SHERIFF'S SERVICE FEE ON ARRESTS
2020-06-09: BUREAU OF NARCOTICS DRUG EDUCATION REVOLVING FUND
2020-06-09: ATTORNEY GENERAL VICTIM SERVICES UNIT
2020-06-09: C.H.A.B. STATUTORY FEE
2020-06-09: DRUG ABUSE EDUCATION/TREATMENT FEE (MENTAL HEALTH)
2020-06-09: VICTIMS COMPENSATION ASSESSMENT (AC12)
2020-06-09: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2020-06-09: DISTRICT COURT ADMINISTRATIVE FEE"
"ORIGINAL OFFENSE: DU2M, POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE (STATUTE: 63 O.S. 2-402)
ORIGINAL PLEA: GUILTY PLEA",
"2020-06-09: PAUL K WOODWARD , JUDGE: CASE DISPOSED. DEFERRED 5 YEARS, 06-08-2025, 10 AM; STATE/THROWER, DEFT IN CUSTODY/BEEBE; DOC SUPERVISION; MENTAL HEALTH ASSESSMENT/FOLLOW RECOMMENDATIONS; WEEKLY NA MEETINGS; COURT COSTS, $50 VCA, $150 DNA FEE, $76 JAIL COSTS; DEFT RELEASED FROM DOC CUSTODY

2020-06-09: COURT COSTS ON FELONY: $ 103.00; Statute: 21 O.S. 856","2019-04-24: CRIMINAL FELONY INITIAL FILING. (AMENDED 9-6-2019)
2019-04-24: DEFENDANT CALEB MICHAEL IRA VANBUSKIRK WAS CHARGED WITH COUNT #1, CONTRIBUTING TO THE DELIQUENCY OF MINORS IN VIOLATION OF 21 O.S. 856
2020-06-09: DA COUNCIL PROSECUTION ASSESSMENT FOR FELONY
2020-06-09: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2020-06-09: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2020-06-09: MEDICAL EXPENSE LIABILITY REVOLVING FUND
2020-06-09: AFIS FEE
2020-06-09: CLEET PENALTY ASSESSMENT
2020-06-09: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2020-06-09: LAW LIBRARY FEE
2020-06-09: SHERIFF'S SERVICE FEE ON ARRESTS
2020-06-09: ATTORNEY GENERAL VICTIM SERVICES UNIT
2020-06-09: C.H.A.B. STATUTORY FEE
2020-06-09: DNA LAB FEE- - PAY TO OSBI
2020-06-09: VICTIMS COMPENSATION ASSESSMENT (AC12)
2020-06-09: COURT REPORTER FEE ON DISPOSITION
2020-06-09: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2020-06-09: DISTRICT COURT ADMINISTRATIVE FEE
2020-06-09: DA FEE - INMATE JAIL COSTS
2020-06-09: SHERIFF'S FUND - INMATE JAIL COSTS"
,
"ORIGINAL OFFENSE: S21, SPEEDING 21-25 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: LP1, OPERATING MV W/O CURRENT LIC PLATE/TAXES DUE STATE/IMPROPER TAG (STATUTE: 47 O.S. 1151(A)(5))
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: IL1, CHANGING LANES UNSAFELY (STATUTE: 47 O.S. 11-309(1))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(F), 11-801E)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(F), 11-801E)
ORIGINAL PLEA: BOND FORFEITED",
,
,
"ORIGINAL OFFENSE: S51, 01 - 10 OVER POSTED MAXIMUM (STATUTE: 47 O.S. 11 801)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: DWI (STATUTE: 47 O.S. 761)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: LARCENY FROM THE HOUSE (STATUTE: 21 O.S. 1723)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DWI (STATUTE: 47 O.S. 761)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: KCSP ( IN CONCERT W/EDDIE LEON BILBREY&PAUL ALLEN HARRIS) (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: POSS DRUG PARAPH (STATUTE: O.S. 63 OS 2-405 B)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: OBSTRUCTING AND DELAYING AN OFFICER (STATUTE: 21 O.S. 540)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: POSS MARI (STATUTE: O.S. 63 OS 2-402)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: UNLAW POSS OF CD (STATUTE: O.S. 63 OS 2 402 B1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SPEEDING 65-55 (STATUTE: O.S. 11-801)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: KNOWINGLY CONCERALING STOLEN PROPERTY (STATUTE: O.S. 21OS1713)
ORIGINAL PLEA: GUILTY PLEA",
,
,
,
,
"ORIGINAL OFFENSE: IL0, FAILURE TO MAINTAIN LANE (STATUTE: 47 O.S. 11-309)
ORIGINAL PLEA: DISMISSED BY COURT",
,
"ORIGINAL OFFENSE: DU9IV, POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE (STATUTE: 63 O.S. 2-402)
ORIGINAL PLEA: DISMISSED BY COURT",
,other: ADDITIONAL DISPOSITION INFO: DISMISSED BY COURT
,
,other: 5 YR DEFERRED OBTAIN DRUG AND ALCOHOL ASSESSMENT AND FOLLOW RECOMMENDATIONS; ALL TIME TO RUN CONCURRENT; DFT SIGNED RULES AND CONDITIONS OF DA SUPERVISED PROBATION; DFT ADVISED OF REQUIREMENT OF REGISTERING WITH OBNDD REGISTRY; DFT ORDERED TO SEE COST ADMINISTRATOR; DFT ADVISED OF RIGHT OF APPEAL; BOND EXONERATED
,other: 5 YR DEFERRED OBTAIN DRUG AND ALCOHOL ASSESSMENT AND FOLLOW RECOMMENDATIONS; ALL TIME TO RUN CONCURRENT; DFT SIGNED RULES AND CONDITIONS OF DA SUPERVISED PROBATION; DFT ADVISED OF REQUIREMENT OF REGISTERING WITH OBNDD REGISTRY; DFT ORDERED TO SEE COST ADMINISTRATOR; DFT ADVISED OF RIGHT OF APPEAL; BOND EXONERATED
"DEFERRED SENTENCE FOR 3 YEARS UNTIL 10/24/2021
; Statute: 63 OS 2-405",3 YEARS PROBATION; $200.00 FINE; $614.00 COSTS;
"ORIGINAL OFFENSE: DI2DM, DRIVING A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF DRUGS (STATUTE: 47 O.S. 11-902(A)(3))
ORIGINAL PLEA: GUILTY PLEA",
07-10-2020 - BENCH WARRANT ISSUED FOR FAILURE TO APPEAR: WARRANT IS ACTIVE. NO NEXT COURT DATE IS LISTED ON PUBLIC ACCESS;; Warrant Active: Yes; Warrant Date: 07/10/2020,
,
,
,other: 5 YR DEFERRED OBTAIN DRUG AND ALCOHOL ASSESSMENT AND FOLLOW RECOMMENDATIONS; ALL TIME TO RUN CONCURRENT; DFT SIGNED RULES AND CONDITIONS OF DA SUPERVISED PROBATION; DFT ADVISED OF REQUIREMENT OF REGISTERING WITH OBNDD REGISTRY; DFT ORDERED TO SEE COST ADMINISTRATOR; DFT ADVISED OF RIGHT OF APPEAL; BOND EXONERATED
"DEFERRED SENTENCE FOR 3 YEARS UNTIL 10/24/2021
; Statute: 63 OS 2-401-2-420",3 YEARS PROBATION; $200.00 FINE; $878.00 COSTS;
,
"ORIGINAL OFFENSE: DU8II, POSSESSION OF CONTROLLED DANGEROUS SUBSTANCE (STATUTE: 63 O.S. 2-402)
ORIGINAL PLEA: GUILTY PLEA",
,
,other: 1 YEAR DEFERRED
07-10-2020 - BENCH WARRANT ISSUED FOR FAILURE TO APPEAR: WARRANT IS ACTIVE. NO NEXT COURT DATE IS LISTED ON PUBLIC ACCESS;; Statute: 47 OS 12-417(A); Warrant Active: Yes; Warrant Date: 07/10/2020,
,other: ADDITIONAL DISPOSITION INFO: DISMISSED BY COURT
,
,other: ADDITIONAL DISPOSITION INFO: DISMISSED BY COURT
,
,
,
,other: ADDITIONAL DISPOSITION INFO: DISMISSED BY COURT
,
,
,
"ORIGINAL OFFENSE: DI2DM, DRIVING A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF DRUGS (STATUTE: 47 O.S. 11-902(A)(4))
ORIGINAL PLEA: DISMISSED BY COURT",
DEFERRED SENTENCE FOR 3 YEARS UNTIL 10/24/2021; Statute: 21 OS 540,3 YEARS PROBATION; $150.00 FINE; $351.50 COSTS;
"ORIGINAL OFFENSE: DR3, UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA (STATUTE: 63 O.S. 2-405)
ORIGINAL PLEA: GUILTY PLEA",
DEFERRED SENTENCE FOR 5 YEARS UNTIL 10/24/2023,5 YEARS PROBATION; $500.00 FINE; $250.00 FEES; $829.00 COSTS;
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: IL1, FAILURE TO MAINTAIN LANE (STATUTE: 47 O.S. 11-309)
ORIGINAL PLEA: GUILTY PLEA",
,
"DEFERRED SENTENCE FOR 3 YEARS UNTIL 10/24/2021
; Statute: 63 OS 2-401-2-420",3 YEARS PROBATION; $200.00 FINE; $878.00 COSTS;
"ORIGINAL OFFENSE: DR3, UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA (STATUTE: 63 O.S. 2-405 (B))
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: FAILURE TO SECURE LOAD (STATUTE: O.S. 14 105 A)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: FR5, FINANCIAL RESPONSIBILITY/SECURITY VERIFICATION (STATUTE: 47 O.S. 7-606(A))
ORIGINAL PLEA: DISMISSED WITH COSTS",
,"sentence suspended: 15 YRS PRISON
other: , EACH COUNT, CONCURRENT WITH EACH OTHER AND CF-10-6620. **06/07/2016 WARRANT ISSUED"
"ORIGINAL OFFENSE: DU8I, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE //METHYLENIDIOXY METH//SCHD I (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: MINCD, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE IN THE PRESENCE OF A CHILD UNDER TWELVE (12) YEARS OF AGE (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: MINCD, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE IN THE PRESENCE OF A CHILD UNDER TWELVE (12) YEARS OF AGE (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: MINCD, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE IN THE PRESENCE OF A CHILD UNDER TWELVE (12) YEARS OF AGE (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
